"Nazv","Opisanie","Cena","Rating","Otzyv"
"Планшет Samsung Galaxy Tab S6 Lite 10.4 SM-P610 128Gb (2020), серый","диагональ: 10.4"" (2000x1200) TFTвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Samsung Exynos 9611",24990,4.5,9
"Планшет DIGMA CITI 10 C402T, черный","диагональ: 10.1"" (1280x800) IPSоперативная память: 4 ГБпроцессор: Intel Celeron N3350операционная система: Windows 10",16990,NA,NA
"Планшет HUAWEI MatePad Pro WiFi 128Gb, midnight grey","диагональ: 10.8"" (2560x1600) IPSвстроенная память: 128 ГБ, слот NMоперативная память: 6 ГБпроцессор: HiSilicon Kirin 990",37990,4.5,106
"Планшет Blackview Tab 8, gray","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDоперативная память: 4 ГБпроцессор: Spreadtrum SC9863A",15000,4.3,21
"Планшет HUAWEI MediaPad T5 10 16Gb LTE (2018), черный","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: HiSilicon Kirin 659",12290,4.5,80
"Планшет Samsung Galaxy Tab S7+ 12.4 SM-T970 128Gb Wi-Fi (2020), silver","диагональ: 12.4"" (2800x1752) Super AMOLEDвстроенная память: 128 ГБ, слот microSDXCоперативная память: 6 ГБпроцессор: Qualcomm Snapdragon 865+",59900,4.5,25
"Планшет HUAWEI Mediapad T3 8.0 16Gb LTE (2017), luxurious gold","диагональ: 8"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 425",11385,4.5,133
"Планшет Blackview Tab 8E keyboard, gold","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDоперативная память: 3 ГБпроцессор: Spreadtrum SC9863A",12200,NA,NA
"Планшет Apple iPad (2020) 32Gb Wi-Fi + Cellular, gold","диагональ: 10.2"" (2160x1620) IPSвстроенная память: 32 ГБпроцессор: Apple A12 Bionicоперационная система: iOS",40569,4.8,11
"Планшет Teclast M40, черный","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 128 ГБ, слот microSDоперативная память: 6 ГБпроцессор: Unisoc Tiger T618",16990,NA,NA
